fieldmap_name:      	VPU29_Gap10.5mm
timestamp:          	2025-03-25_11-00-13
filename:           	2025-03-25_VPU29_Gap10.5mm_Fieldmap_X=-2_2mm_Z=-1380_1380mm_ID=5231.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap10.5mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.86
probey_temp[degC]:  	-57.30
probez_temp[degC]:  	-0.08
transd_temp[degC]:  	-0.38
room_temp[degC]:    	25.13
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
---------------------------------------------------------------------------------------------
-2.000	0.000	-1380.000	-5.8531287754e-06	-7.4087599719e-06	4.9814995934e-06
-1.000	0.000	-1380.000	-5.4579843170e-06	-8.1322388613e-06	4.3297424419e-06
0.000	0.000	-1380.000	-5.6553768371e-06	-8.3547882899e-06	3.9637203093e-06
1.000	0.000	-1380.000	-4.9573505928e-06	-7.1425368868e-06	4.1395380215e-06
2.000	0.000	-1380.000	-3.9842255955e-06	-7.9855122408e-06	4.4666839127e-06
-2.000	0.000	-1379.000	-5.8171150636e-06	-8.4922742252e-06	4.7014764189e-06
-1.000	0.000	-1379.000	-5.3743836247e-06	-7.4229196529e-06	4.2941862101e-06
0.000	0.000	-1379.000	-4.9185693602e-06	-8.9903576954e-06	4.1929437672e-06
1.000	0.000	-1379.000	-4.4244770487e-06	-7.9539252600e-06	3.5083792092e-06
2.000	0.000	-1379.000	-4.4308028104e-06	-8.5631780375e-06	3.5022389764e-06
-2.000	0.000	-1378.000	-6.0395949797e-06	-8.7123290202e-06	5.1630291501e-06
-1.000	0.000	-1378.000	-4.6063786409e-06	-8.0564863245e-06	4.4877106401e-06
0.000	0.000	-1378.000	-5.3924264224e-06	-9.2508887994e-06	4.0971989745e-06
1.000	0.000	-1378.000	-4.4158150681e-06	-7.8686509526e-06	3.7941856261e-06
2.000	0.000	-1378.000	-4.1425493486e-06	-7.6283228673e-06	3.7795133256e-06
-2.000	0.000	-1377.000	-5.3944032230e-06	-7.8246962107e-06	5.0909171138e-06
-1.000	0.000	-1377.000	-5.4974125024e-06	-7.7922659734e-06	4.0374388018e-06
0.000	0.000	-1377.000	-5.3642839710e-06	-8.7201642779e-06	4.3894312165e-06
1.000	0.000	-1377.000	-4.6823956075e-06	-7.7310244745e-06	3.9252010583e-06
2.000	0.000	-1377.000	-4.4129756637e-06	-7.5053479699e-06	3.6665616015e-06
-2.000	0.000	-1376.000	-5.4758114637e-06	-7.8803862714e-06	5.1003059582e-06
