fieldmap_name:      	VPU29_Gap9.7mm
timestamp:          	2025-03-25_10-08-52
filename:           	2025-03-25_VPU29_Gap9.7mm_Fieldmap_X=-2_2mm_Z=-1380_1380mm_ID=5229.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap9.7mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.88
probey_temp[degC]:  	-57.20
probez_temp[degC]:  	0.03
transd_temp[degC]:  	-0.34
room_temp[degC]:    	25.13
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
-2.000	0.000	-1374.000	-3.5208994886e-06	-7.4853557651e-06	2.6642399969e-06
-1.000	0.000	-1374.000	-3.4784162477e-06	-7.8739213053e-06	2.1787689173e-06
0.000	0.000	-1374.000	-4.5895578654e-06	-7.4231304670e-06	3.8420937215e-06
1.000	0.000	-1374.000	-5.1735047473e-06	-8.0236344590e-06	3.2796555378e-06
2.000	0.000	-1374.000	-4.4457186691e-06	-8.1407065613e-06	3.0205162947e-06
-2.000	0.000	-1373.000	-2.8425334236e-06	-6.6004284032e-06	2.3782907839e-06
-1.000	0.000	-1373.000	-2.7686729666e-06	-8.3635370755e-06	2.5599631365e-06
0.000	0.000	-1373.000	-3.9657514959e-06	-7.6202767955e-06	3.9011399135e-06
1.000	0.000	-1373.000	-5.1670352182e-06	-7.8009444876e-06	3.4731799677e-06
2.000	0.000	-1373.000	-4.6554032945e-06	-8.0680108291e-06	3.1909791526e-06
-2.000	0.000	-1372.000	-3.2509763590e-06	-6.4514179631e-06	2.5210868952e-06
-1.000	0.000	-1372.000	-3.0621739356e-06	-7.9912042218e-06	2.5418280304e-06
0.000	0.000	-1372.000	-4.2207587667e-06	-7.6460312525e-06	3.9669689209e-06
1.000	0.000	-1372.000	-5.6080773912e-06	-7.7221351462e-06	3.6396088355e-06
2.000	0.000	-1372.000	-4.8021537789e-06	-7.7280379413e-06	2.6276841924e-06
-2.000	0.000	-1371.000	-2.9058269830e-06	-6.8734678112e-06	2.4702157806e-06
-1.000	0.000	-1371.000	-3.1454152097e-06	-7.8396991481e-06	2.8780771736e-06
0.000	0.000	-1371.000	-4.4070093202e-06	-7.6254768768e-06	4.0532534712e-06
1.000	0.000	-1371.000	-5.5629703969e-06	-7.9773256262e-06	3.7374598708e-06
2.000	0.000	-1371.000	-4.4065061346e-06	-8.1729962558e-06	2.4733215960e-06
-2.000	0.000	-1370.000	-3.2292315530e-06	-6.8495755454e-06	2.2292830417e-06
-1.000	0.000	-1370.000	-2.4501564852e-06	-7.7281784840e-06	2.7379584893e-06
0.000	0.000	-1370.000	-3.9987820360e-06	-7.1452423345e-06	4.1925153788e-06
1.000	0.000	-1370.000	-5.1732890963e-06	-7.8482371196e-06	3.8511969736e-06
2.000	0.000	-1370.000	-4.2958412457e-06	-8.2166699123e-06	2.2293544398e-06
-2.000	0.000	-1369.000	-3.8163772580e-06	-6.9404715624e-06	2.5510740786e-06
-1.000	0.000	-1369.000	-2.6847128560e-06	-8.0175911212e-06	2.3725075414e-06
