fieldmap_name:      	VPU29_Gap13.0mm
timestamp:          	2025-03-24_17-06-33
filename:           	2025-03-24_VPU29_Gap13.0mm_Fieldmap_Y=-3_3mm_Z=-1380_1380mm_ID=5224.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap13.0mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.54
probey_temp[degC]:  	-57.68
probez_temp[degC]:  	-0.47
transd_temp[degC]:  	-0.70
room_temp[degC]:    	25.09
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
---------------------------------------------------------------------------------------------					
0.000	-3.0	-1380.0	9.7969429013e-06	8.0144779447e-06	8.4168871423e-06
0.000	-2.0	-1380.0	1.1240294831e-05	8.1110659427e-06	8.4340940737e-06
0.000	-1.0	-1380.0	1.1276021008e-05	9.0659835889e-06	7.6784884494e-06
0.000	0.0	-1380.0	1.0920736038e-05	9.0805648981e-06	9.0526154311e-06
0.000	1.0	-1380.0	1.0812551136e-05	9.7378481569e-06	7.5529706674e-06
0.000	2.0	-1380.0	1.1692910272e-05	8.7464948054e-06	7.9817159923e-06
0.000	3.0	-1380.0	1.049155467e-05	1.0307467882e-05	8.7280755685e-06
0.000	-3.0	-1379.0	9.9765082742e-06	8.5268616387e-06	8.2141880619e-06
0.000	-2.0	-1379.0	9.9669836898e-06	8.5064478057e-06	8.0678577466e-06
0.000	-1.0	-1379.0	1.1519239359e-05	9.5141392507e-06	8.2790888946e-06
0.000	0.0	-1379.0	1.1594465605e-05	9.1532606303e-06	8.0676435524e-06
0.000	1.0	-1379.0	1.0857370596e-05	9.2027668105e-06	7.4994221256e-06
0.000	2.0	-1379.0	1.08806609e-05	8.9895986097e-06	8.1069481822e-06
0.000	3.0	-1379.0	9.8984426237e-06	9.2233914575e-06	8.8890781843e-06
0.000	-3.0	-1378.0	1.0072257304e-05	8.6557393311e-06	8.0259470879e-06
0.000	-2.0	-1378.0	1.0462154255e-05	8.5792840806e-06	7.9695783228e-06
0.000	-1.0	-1378.0	1.1411413875e-05	8.9248084067e-06	8.5087407411e-06
0.000	0.0	-1378.0	1.1542745314e-05	8.974736215e-06	7.8951458497e-06
0.000	1.0	-1378.0	1.093550813e-05	9.2620055753e-06	7.9466595469e-06
0.000	2.0	-1378.0	1.0910780152e-05	8.9750875719e-06	8.0947391146e-06
0.000	3.0	-1378.0	9.4250887483e-06	9.3994915106e-06	8.8473817197e-06
0.000	-3.0	-1377.0	1.0282516998e-05	8.319034062e-06	7.7939034066e-06
0.000	-2.0	-1377.0	1.0215808965e-05	9.1362549588e-06	8.0321587187e-06
0.000	-1.0	-1377.0	1.1614988388e-05	8.811003923e-06	7.743246486e-06
0.000	0.0	-1377.0	1.1543464151e-05	8.9247381353e-06	7.7468520878e-06
0.000	1.0	-1377.0	1.0884219141e-05	9.6369033339e-06	7.410317352e-06
0.000	2.0	-1377.0	1.1277243031e-05	8.8930808831e-06	8.1985875867e-06
0.000	3.0	-1377.0	1.0088538952e-05	9.6423142294e-06	8.6031289708e-06
0.000	-3.0	-1376.0	9.9912084819e-06	8.5532485381e-06	8.012060166e-06
0.000	-2.0	-1376.0	1.0752743934e-05	8.4415170599e-06	8.3392774557e-06
0.000	-1.0	-1376.0	1.0973498642e-05	8.6145603084e-06	7.960832061e-06
0.000	0.0	-1376.0	1.1393442961e-05	9.9179888137e-06	7.812395503e-06
0.000	1.0	-1376.0	1.0814743588e-05	9.1387495924e-06	7.7530637187e-06
0.000	2.0	-1376.0	1.0959229736e-05	8.7669086384e-06	8.2911551661e-06
0.000	3.0	-1376.0	9.5089050913e-06	9.5836376355e-06	8.8475245158e-06
0.000	-3.0	-1375.0	1.0498311734e-05	8.3890946179e-06	7.9817159923e-06
0.000	-2.0	-1375.0	1.1030825858e-05	8.098979267e-06	8.2707710211e-06
0.000	-1.0	-1375.0	1.0896439363e-05	8.6938615493e-06	7.9074263153e-06
0.000	0.0	-1375.0	1.1686872044e-05	9.6246058442e-06	8.0526856598e-06
0.000	1.0	-1375.0	1.082462759e-05	8.960014363e-06	7.2939742201e-06
0.000	2.0	-1375.0	1.1114642201e-05	8.7055265967e-06	8.1870924998e-06
0.000	3.0	-1375.0	9.8479443553e-06	9.782997512e-06	8.657105901e-06
0.000	-3.0	-1374.0	1.0000445532e-05	8.6617123976e-06	7.7520641459e-06
0.000	-2.0	-1374.0	1.0746202522e-05	8.5126316862e-06	8.1123030363e-06
