fieldmap_name:      	VPU29_Gap10mm
timestamp:          	2025-03-24_14-10-07
filename:           	2025-03-24_VPU29_Gap10.0mm_Fieldmap_Y=-3_3mm_Z=-1380_1380mm_ID=5219.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap10.0mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.89
probey_temp[degC]:  	-57.43
probez_temp[degC]:  	-0.24
transd_temp[degC]:  	-0.49
room_temp[degC]:    	25.15
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
0.000	3.0	-1374.0	7.4399137583e-06	8.790379276e-06	4.7573797949e-06
0.000	-3.0	-1373.0	7.595326223e-06	8.7527489574e-06	4.6046950528e-06
0.000	-2.0	-1373.0	6.7000512269e-06	7.7507494932e-06	4.6494973327e-06
0.000	-1.0	-1373.0	6.1725689575e-06	8.4270762933e-06	4.3138193738e-06
0.000	0.0	-1373.0	5.9034365485e-06	7.6947783471e-06	4.5184819005e-06
0.000	1.0	-1373.0	5.4743270624e-06	8.1317608611e-06	4.5781706751e-06
0.000	2.0	-1373.0	5.8403586401e-06	7.9176088612e-06	4.1020884396e-06
0.000	3.0	-1373.0	7.2178651443e-06	8.3599319993e-06	3.7894720527e-06
0.000	-3.0	-1372.0	7.8319312773e-06	8.1838319462e-06	5.0722452206e-06
0.000	-2.0	-1372.0	6.393683084e-06	7.7571441879e-06	5.7355688573e-06
0.000	-1.0	-1372.0	6.445762793e-06	8.4361764357e-06	4.00770021e-06
0.000	0.0	-1372.0	5.7689062858e-06	7.8505348386e-06	4.5727444228e-06
0.000	1.0	-1372.0	6.1104974203e-06	8.0434297491e-06	4.4329827288e-06
0.000	2.0	-1372.0	5.7382838482e-06	8.0234375443e-06	4.3104993642e-06
0.000	3.0	-1372.0	6.8315264341e-06	8.2953526104e-06	4.0904505565e-06
0.000	-3.0	-1371.0	8.1018544062e-06	8.6794207828e-06	5.0987695983e-06
0.000	-2.0	-1371.0	7.4700330103e-06	7.5313974119e-06	5.4229524703e-06
0.000	-1.0	-1371.0	5.7289749147e-06	8.7058076822e-06	3.1855515987e-06
0.000	0.0	-1371.0	5.4652337799e-06	7.4200875619e-06	4.1854099706e-06
0.000	1.0	-1371.0	5.4986237383e-06	7.8855299808e-06	4.0039518121e-06
0.000	2.0	-1371.0	6.4462659786e-06	7.782898645e-06	4.5608209475e-06
0.000	3.0	-1371.0	7.1763163911e-06	8.3717375895e-06	4.7810125513e-06
0.000	-3.0	-1370.0	8.2520193639e-06	8.878148217e-06	5.3972134712e-06
0.000	-2.0	-1370.0	7.3381265011e-06	7.5576437686e-06	4.9591507003e-06
0.000	-1.0	-1370.0	5.6307458985e-06	8.8023254088e-06	3.6382866698e-06
0.000	0.0	-1370.0	5.7655636958e-06	7.8157505104e-06	4.3524100229e-06
0.000	1.0	-1370.0	5.777855801e-06	7.7858149068e-06	4.3708307213e-06
0.000	2.0	-1370.0	5.725776092e-06	8.1464124418e-06	4.6828759238e-06
0.000	3.0	-1370.0	7.2692260167e-06	8.432908817e-06	4.4918861247e-06
