fieldmap_name:      	VPU29_Gap9.7mm
timestamp:          	2025-03-24_13-34-43
filename:           	2025-03-24_VPU29_Gap9.7mm_Fieldmap_Y=-3_3mm_Z=-1380_1380mm_ID=5218.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap9.7mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.86
probey_temp[degC]:  	-57.27
probez_temp[degC]:  	-0.05
transd_temp[degC]:  	-0.41
room_temp[degC]:    	25.14
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
---------------------------------------------------------------------------------------------
0.000	-3.000	-1380.000	-7.3800346727e-06	-8.4183275078e-06	5.1520325479e-06
0.000	-2.000	-1380.000	-8.1374368160e-06	-7.9703826600e-06	4.5697100055e-06
0.000	-1.000	-1380.000	-7.3977899358e-06	-7.5516707021e-06	5.1526751304e-06
0.000	0.000	-1380.000	-5.4120398743e-06	-8.2045971361e-06	4.8609426747e-06
0.000	1.000	-1380.000	-4.7322720786e-06	-6.4681564486e-06	3.5734572353e-06
0.000	2.000	-1380.000	-5.9330526148e-06	-8.4416576026e-06	3.7780483638e-06
0.000	3.000	-1380.000	-6.3824692337e-06	-8.2696684246e-06	6.6547117279e-06
0.000	-3.000	-1379.000	-7.5147805862e-06	-7.9555202653e-06	5.1018040157e-06
0.000	-2.000	-1379.000	-7.2898925678e-06	-7.9117763375e-06	4.8579796554e-06
0.000	-1.000	-1379.000	-7.7064224136e-06	-7.3525919110e-06	5.1468918879e-06
0.000	0.000	-1379.000	-5.4299389047e-06	-8.4362467071e-06	4.0899507701e-06
0.000	1.000	-1379.000	-4.4054530353e-06	-7.7597793643e-06	3.4328387646e-06
0.000	2.000	-1379.000	-5.9360357866e-06	-8.1282824283e-06	4.1739862817e-06
0.000	3.000	-1379.000	-6.5229658398e-06	-8.1142632900e-06	5.2678758933e-06
0.000	-3.000	-1378.000	-7.7754666654e-06	-8.1343960375e-06	5.4862468467e-06
0.000	-2.000	-1378.000	-7.1401589120e-06	-7.9061546279e-06	5.3399879296e-06
0.000	-1.000	-1378.000	-6.9694711703e-06	-7.4259903570e-06	4.5992688005e-06
0.000	0.000	-1378.000	-5.4028747081e-06	-8.5447105666e-06	4.7986478711e-06
0.000	1.000	-1378.000	-4.8220547654e-06	-8.4046597263e-06	3.6051222730e-06
0.000	2.000	-1378.000	-6.7095039276e-06	-8.2196703449e-06	4.2093997173e-06
0.000	3.000	-1378.000	-6.2862170180e-06	-7.7329005653e-06	5.4207748296e-06
0.000	-3.000	-1377.000	-7.2927319723e-06	-8.2313353923e-06	5.1734162656e-06
0.000	-2.000	-1377.000	-8.0030503208e-06	-8.1495395177e-06	5.5932011342e-06
0.000	-1.000	-1377.000	-6.4990285822e-06	-7.4107766054e-06	4.2151115618e-06
0.000	0.000	-1377.000	-5.8135819782e-06	-8.3834729083e-06	5.1380028299e-06
0.000	1.000	-1377.000	-5.2684882127e-06	-7.6220826148e-06	3.8554438562e-06
0.000	2.000	-1377.000	-5.9564148031e-06	-7.9733691932e-06	4.9655051273e-06
0.000	3.000	-1377.000	-6.3976007433e-06	-7.9121979657e-06	5.0598933570e-06
0.000	-3.000	-1376.000	-7.0148656992e-06	-7.8739352048e-06	4.5778850828e-06
0.000	-2.000	-1376.000	-7.9640534373e-06	-7.8879543431e-06	5.1400376745e-06
0.000	-1.000	-1376.000	-7.0532156298e-06	-7.9710853737e-06	4.4715019798e-06
0.000	0.000	-1376.000	-5.1928306645e-06	-8.2256434114e-06	4.4295913211e-06
0.000	1.000	-1376.000	-5.0250542107e-06	-7.5226486263e-06	4.1416072634e-06
0.000	2.000	-1376.000	-6.2754344695e-06	-7.6362422959e-06	4.9860320683e-06
0.000	3.000	-1376.000	-6.2983653559e-06	-7.7011730417e-06	5.5839550860e-06
0.000	-3.000	-1375.000	-6.4662136932e-06	-7.8209505918e-06	4.7927932305e-06
0.000	-2.000	-1375.000	-7.7456349480e-06	-8.1729398839e-06	5.5398667866e-06
0.000	-1.000	-1375.000	-7.1612567651e-06	-7.9092114325e-06	3.9206302811e-06
0.000	0.000	-1375.000	-5.4273870349e-06	-8.1196039141e-06	4.3131767913e-06
0.000	1.000	-1375.000	-5.2660801102e-06	-7.2963396794e-06	3.4241639008e-06
0.000	2.000	-1375.000	-6.1699452040e-06	-7.8863029659e-06	4.3519816346e-06
0.000	3.000	-1375.000	-6.9310493561e-06	-7.3203724879e-06	5.6433582683e-06
0.000	-3.000	-1374.000	-6.6761139693e-06	-8.2197406163e-06	4.9056021586e-06
0.000	-2.000	-1374.000	-7.7002404192e-06	-8.0438513773e-06	4.8073227349e-06
0.000	-1.000	-1374.000	-7.3323039250e-06	-7.4284147192e-06	4.5546807147e-06
0.000	0.000	-1374.000	-5.7804076708e-06	-8.1428637376e-06	5.2186469339e-06
0.000	1.000	-1374.000	-4.6059006109e-06	-8.3400100660e-06	3.3081063613e-06
0.000	2.000	-1374.000	-5.7171859951e-06	-7.8328264533e-06	4.2573078127e-06
0.000	3.000	-1374.000	-6.8191624452e-06	-7.4819615031e-06	5.1554239555e-06
0.000	-3.000	-1373.000	-6.5885237342e-06	-8.0874547624e-06	5.3581230357e-06
0.000	-2.000	-1373.000	-7.5653507384e-06	-7.9789909028e-06	4.8967131006e-06
0.000	-1.000	-1373.000	-7.3590805869e-06	-7.2615553512e-06	4.8464131704e-06
0.000	0.000	-1373.000	-5.8615283769e-06	-7.9060140851e-06	4.9386237593e-06
0.000	1.000	-1373.000	-5.3311348192e-06	-8.1816183981e-06	3.3735069803e-06
0.000	2.000	-1373.000	-5.8819792771e-06	-8.0700274626e-06	3.9027807671e-06
0.000	3.000	-1373.000	-7.3833772627e-06	-7.2702338654e-06	5.2007260219e-06
0.000	-3.000	-1372.000	-7.0803517100e-06	-8.5826922421e-06	5.3786499767e-06
0.000	-2.000	-1372.000	-7.5981656274e-06	-7.9353875178e-06	5.0307629502e-06
0.000	-1.000	-1372.000	-7.4309642431e-06	-7.8453347572e-06	4.4412292042e-06
0.000	0.000	-1372.000	-5.7118666046e-06	-8.0232970016e-06	4.6494973327e-06
0.000	1.000	-1372.000	-5.4989831565e-06	-7.4491799090e-06	3.4479394534e-06
0.000	2.000	-1372.000	-6.6916048972e-06	-8.1404393753e-06	4.3021100927e-06
0.000	3.000	-1372.000	-6.6692850220e-06	-7.8538024573e-06	4.9023535470e-06
0.000	-3.000	-1371.000	-7.2450731082e-06	-8.0435702918e-06	4.9499760502e-06
0.000	-2.000	-1371.000	-7.9940289219e-06	-8.0001777209e-06	4.9173114397e-06
0.000	-1.000	-1371.000	-7.0292783723e-06	-7.1124043685e-06	5.0634989588e-06
0.000	0.000	-1371.000	-5.1781304568e-06	-7.8708081288e-06	4.6674896427e-06
0.000	1.000	-1371.000	-5.3973396666e-06	-7.5462598066e-06	3.1202937758e-06
0.000	2.000	-1371.000	-5.7230804549e-06	-7.9999669068e-06	4.3583360615e-06
0.000	3.000	-1371.000	-7.2003255322e-06	-7.5987525200e-06	4.8516252284e-06
0.000	-3.000	-1370.000	-7.2811587036e-06	-7.9352469750e-06	4.9537244481e-06
0.000	-2.000	-1370.000	-7.6006456135e-06	-7.8474780340e-06	5.5512190774e-06
0.000	-1.000	-1370.000	-7.1971267095e-06	-7.1153909017e-06	4.6262929646e-06
0.000	0.000	-1370.000	-4.9655345433e-06	-8.0939197284e-06	4.7865815997e-06
0.000	1.000	-1370.000	-5.0643386289e-06	-7.1801811048e-06	3.1142249411e-06
0.000	2.000	-1370.000	-5.6509811477e-06	-7.6280556813e-06	4.8226376178e-06
0.000	3.000	-1370.000	-7.4343068331e-06	-7.3346024403e-06	5.3193895905e-06
0.000	-3.000	-1369.000	-7.3769077337e-06	-8.0173239351e-06	4.6941568166e-06
0.000	-2.000	-1369.000	-8.5217987254e-06	-8.1757858744e-06	5.1672046347e-06
0.000	-1.000	-1369.000	-7.4183127196e-06	-7.6253502335e-06	4.3670109253e-06
0.000	0.000	-1369.000	-5.5946603030e-06	-8.2661899918e-06	4.7655548723e-06
0.000	1.000	-1369.000	-5.4420153589e-06	-7.0891445450e-06	4.0762066444e-06
0.000	2.000	-1369.000	-6.2391332231e-06	-7.7536657551e-06	3.8339173424e-06
0.000	3.000	-1369.000	-6.6668769195e-06	-7.9329631555e-06	5.2623782430e-06
0.000	-3.000	-1368.000	-7.4306767085e-06	-8.1671776316e-06	5.0514326874e-06
0.000	-2.000	-1368.000	-8.1253603617e-06	-7.9672555841e-06	4.9000331102e-06
0.000	-1.000	-1368.000	-7.4008449912e-06	-7.7890825255e-06	4.8817552079e-06
0.000	0.000	-1368.000	-6.0560814925e-06	-8.2779253106e-06	5.0220880865e-06
0.000	1.000	-1368.000	-5.3398686834e-06	-7.6890160947e-06	3.7038300849e-06
0.000	2.000	-1368.000	-5.8465406346e-06	-8.1869590222e-06	4.3019672966e-06
0.000	3.000	-1368.000	-6.6669488032e-06	-7.5136890267e-06	4.9328405168e-06
0.000	-3.000	-1367.000	-7.5598875805e-06	-7.9264279181e-06	5.1525323343e-06
0.000	-2.000	-1367.000	-8.2039291979e-06	-8.5800570657e-06	4.3816832257e-06
0.000	-1.000	-1367.000	-7.6078339792e-06	-7.4462636472e-06	4.6376452555e-06
0.000	0.000	-1367.000	-6.0021687503e-06	-8.2398733638e-06	4.8607284805e-06
0.000	1.000	-1367.000	-5.6548269233e-06	-7.6395099146e-06	3.7638044517e-06
0.000	2.000	-1367.000	-5.7474490144e-06	-8.3306288381e-06	4.3253858588e-06
0.000	3.000	-1367.000	-6.3554769207e-06	-7.5193810076e-06	3.7807257909e-06
0.000	-3.000	-1366.000	-7.6760875107e-06	-8.0731545386e-06	5.0694249974e-06
0.000	-2.000	-1366.000	-7.6490951978e-06	-8.3481966806e-06	5.0427578236e-06
0.000	-1.000	-1366.000	-7.1457658372e-06	-7.2737825696e-06	4.9329119149e-06
0.000	0.000	-1366.000	-5.5733467989e-06	-8.2986905004e-06	4.6077294701e-06
0.000	1.000	-1366.000	-5.7265668123e-06	-7.7690200494e-06	3.2327457135e-06
0.000	2.000	-1366.000	-6.1457922955e-06	-8.3163988857e-06	4.2153971540e-06
0.000	3.000	-1366.000	-6.4183391781e-06	-7.6220123435e-06	4.6407510709e-06
0.000	-3.000	-1365.000	-7.6825570398e-06	-8.2133459216e-06	5.0364747947e-06
0.000	-2.000	-1365.000	-8.1434750431e-06	-7.9379524228e-06	4.8873956543e-06
0.000	-1.000	-1365.000	-7.6377375801e-06	-7.5634762923e-06	4.2835465982e-06
0.000	0.000	-1365.000	-6.0533858554e-06	-7.9878099598e-06	4.9715739620e-06
0.000	1.000	-1365.000	-5.7983785849e-06	-7.4523069850e-06	4.1718086410e-06
0.000	2.000	-1365.000	-5.9781596091e-06	-8.2398733638e-06	4.3288486645e-06
0.000	3.000	-1365.000	-6.4719643857e-06	-7.7511711214e-06	5.4923870795e-06
0.000	-3.000	-1364.000	-6.9906409071e-06	-8.4659714966e-06	4.7064372821e-06
0.000	-2.000	-1364.000	-8.1494413866e-06	-7.8506051099e-06	5.2509545541e-06
0.000	-1.000	-1364.000	-7.7541531613e-06	-7.5662520114e-06	4.6824475354e-06
0.000	0.000	-1364.000	-6.0411656338e-06	-7.9529553603e-06	5.1464634995e-06
0.000	1.000	-1364.000	-5.4724221456e-06	-7.1358750061e-06	3.8226364496e-06
0.000	2.000	-1364.000	-5.7983067012e-06	-8.0844682291e-06	3.8876800784e-06
0.000	3.000	-1364.000	-6.3767185412e-06	-7.8065800967e-06	4.8516252284e-06
0.000	-3.000	-1363.000	-6.9215247716e-06	-7.7624848120e-06	4.2627340649e-06
0.000	-2.000	-1363.000	-8.2187012893e-06	-7.5459084498e-06	5.1195821315e-06
0.000	-1.000	-1363.000	-8.0301864010e-06	-7.4261308997e-06	5.2124353030e-06
0.000	0.000	-1363.000	-5.6877136961e-06	-8.1527368650e-06	5.1407516551e-06
0.000	1.000	-1363.000	-4.7766602364e-06	-7.8858813376e-06	3.7837602083e-06
0.000	2.000	-1363.000	-6.2841683338e-06	-8.3576481798e-06	5.1238303159e-06
0.000	3.000	-1363.000	-6.4483146628e-06	-7.9239332845e-06	4.8757577713e-06
0.000	-3.000	-1362.000	-7.0803517100e-06	-7.6422856337e-06	4.4385517771e-06
0.000	-2.000	-1362.000	-7.9518332158e-06	-7.9501796412e-06	5.1291851700e-06
0.000	-1.000	-1362.000	-7.3732776090e-06	-7.6867322752e-06	5.0301917658e-06
0.000	0.000	-1362.000	-5.3579833648e-06	-7.6420045482e-06	4.7956134537e-06
0.000	1.000	-1362.000	-5.0254136290e-06	-8.0110697832e-06	3.6322178351e-06
0.000	2.000	-1362.000	-5.5642535164e-06	-7.9124790512e-06	3.9086354077e-06
0.000	3.000	-1362.000	-6.3164800372e-06	-7.9002518328e-06	4.8497331800e-06
0.000	-3.000	-1361.000	-6.6009596068e-06	-7.7683173357e-06	4.2568080263e-06
0.000	-2.000	-1361.000	-8.0507810685e-06	-8.4185383219e-06	4.8400587434e-06
0.000	-1.000	-1361.000	-7.1464127901e-06	-7.7480440455e-06	5.4530110518e-06
0.000	0.000	-1361.000	-5.7951797622e-06	-7.5720845351e-06	4.9413011864e-06
0.000	1.000	-1361.000	-5.4332814947e-06	-8.2895200867e-06	3.9835676672e-06
0.000	2.000	-1361.000	-5.8854656344e-06	-7.3114831596e-06	3.5640683909e-06
0.000	3.000	-1361.000	-6.5659522662e-06	-7.9061546279e-06	4.4471552428e-06
0.000	-3.000	-1360.000	-6.8315983177e-06	-8.3778511987e-06	4.5452204723e-06
0.000	-2.000	-1360.000	-8.5992893067e-06	-8.4155517887e-06	4.8163545889e-06
0.000	-1.000	-1360.000	-7.1643118205e-06	-7.1591348295e-06	5.2330336421e-06
0.000	0.000	-1360.000	-6.2899190263e-06	-7.4199470191e-06	4.9262004976e-06
0.000	1.000	-1360.000	-5.1573201383e-06	-8.0730139958e-06	4.0492538784e-06
0.000	2.000	-1360.000	-5.7144903580e-06	-7.5193107363e-06	3.1259342222e-06
0.000	3.000	-1360.000	-6.3340915330e-06	-7.3818248009e-06	5.0040243784e-06
0.000	-3.000	-1359.000	-6.8828154228e-06	-8.3836134510e-06	4.9445497979e-06
0.000	-2.000	-1359.000	-8.3952116070e-06	-7.7067947513e-06	5.3105005325e-06
0.000	-1.000	-1359.000	-7.2956432603e-06	-7.5934821673e-06	5.0544671047e-06
0.000	0.000	-1359.000	-5.5133239460e-06	-7.6228555999e-06	5.2031892548e-06
0.000	1.000	-1359.000	-4.7888804580e-06	-7.9736502787e-06	3.1945120547e-06
0.000	2.000	-1359.000	-5.8223877261e-06	-7.9882315880e-06	3.6773771053e-06
0.000	3.000	-1359.000	-6.6431553130e-06	-7.6539506811e-06	4.7505255815e-06
0.000	-3.000	-1358.000	-6.2863607853e-06	-7.6597129334e-06	5.1825909157e-06
0.000	-2.000	-1358.000	-7.8408089088e-06	-7.7397871595e-06	5.1705960424e-06
0.000	-1.000	-1358.000	-7.7817924271e-06	-7.4724397325e-06	5.1940146046e-06
0.000	0.000	-1358.000	-6.0748431268e-06	-7.5047996984e-06	4.6673468466e-06
0.000	1.000	-1358.000	-5.1391335732e-06	-7.9796936165e-06	3.6354664466e-06
0.000	2.000	-1358.000	-5.5797444444e-06	-7.9236521990e-06	4.1355384287e-06
0.000	3.000	-1358.000	-6.3855961727e-06	-8.4804122631e-06	5.1649555960e-06
0.000	-3.000	-1357.000	-7.1612567651e-06	-7.7655416166e-06	5.4802494100e-06
0.000	-2.000	-1357.000	-7.9701635481e-06	-7.5397948406e-06	4.8908584600e-06
0.000	-1.000	-1357.000	-7.2090593965e-06	-7.9353172464e-06	5.3133207557e-06
0.000	0.000	-1357.000	-5.4447828797e-06	-7.4107063340e-06	4.6742010600e-06
0.000	1.000	-1357.000	-6.0569440964e-06	-7.5604897591e-06	3.9030663594e-06
0.000	2.000	-1357.000	-5.1212345428e-06	-8.1232228897e-06	3.7898290430e-06
0.000	3.000	-1357.000	-6.6285269889e-06	-8.0203807397e-06	4.8579082573e-06
0.000	-3.000	-1356.000	-7.7305034384e-06	-7.0917094500e-06	4.7655548723e-06
0.000	-2.000	-1356.000	-8.2606094608e-06	-7.6865917325e-06	4.6969770398e-06
0.000	-1.000	-1356.000	-7.8234849477e-06	-7.8151180681e-06	4.7774783476e-06
0.000	0.000	-1356.000	-5.3880307331e-06	-7.9155358558e-06	4.4323401463e-06
0.000	1.000	-1356.000	-5.1840249166e-06	-7.5400056547e-06	3.5013451990e-06
0.000	2.000	-1356.000	-5.5980747767e-06	-7.6037417873e-06	3.9449056200e-06
0.000	3.000	-1356.000	-6.2651910485e-06	-7.6720104232e-06	4.9772858065e-06
0.000	-3.000	-1355.000	-7.1133103664e-06	-7.1771945716e-06	4.7001542532e-06
0.000	-2.000	-1355.000	-7.8373225515e-06	-7.8477591194e-06	4.7924362402e-06
0.000	-1.000	-1355.000	-7.3069289944e-06	-7.8247101101e-06	5.4921728853e-06
0.000	0.000	-1355.000	-5.1065343351e-06	-8.1433556372e-06	4.6528173423e-06
0.000	1.000	-1355.000	-5.0130496401e-06	-7.8094260871e-06	3.0012018189e-06
0.000	2.000	-1355.000	-5.7475927817e-06	-8.1348176657e-06	3.9856739098e-06
0.000	3.000	-1355.000	-6.3282689569e-06	-7.1386507252e-06	4.6820905451e-06
0.000	-3.000	-1354.000	-6.7089288584e-06	-7.7222193170e-06	5.3996767041e-06
0.000	-2.000	-1354.000	-8.4561689474e-06	-7.8505348386e-06	5.2594866217e-06
0.000	-1.000	-1354.000	-7.5989563476e-06	-7.3493945637e-06	5.2024752742e-06
0.000	0.000	-1354.000	-5.0133371747e-06	-7.9321198991e-06	4.7002970493e-06
0.000	1.000	-1354.000	-5.7152810782e-06	-7.9123385084e-06	3.9877444534e-06
0.000	2.000	-1354.000	-5.5673804555e-06	-8.0730139958e-06	4.1829467377e-06
0.000	3.000	-1354.000	-6.7541796200e-06	-7.5140403835e-06	4.7508111738e-06
0.000	-3.000	-1353.000	-6.8886379989e-06	-7.1477508676e-06	5.3402021237e-06
0.000	-2.000	-1353.000	-7.8972735207e-06	-7.6892971802e-06	5.8523403775e-06
0.000	-1.000	-1353.000	-7.1397994937e-06	-7.4287660761e-06	5.4264152760e-06
0.000	0.000	-1353.000	-6.0685892487e-06	-7.9823990643e-06	4.8730803442e-06
0.000	1.000	-1353.000	-5.4839954142e-06	-7.2730095846e-06	3.4203441048e-06
0.000	2.000	-1353.000	-5.5014631427e-06	-8.2104999311e-06	3.6293262138e-06
0.000	3.000	-1353.000	-7.2033805876e-06	-7.5456976357e-06	5.3138205421e-06
0.000	-3.000	-1352.000	-6.7295954096e-06	-6.9454044578e-06	4.8224234236e-06
0.000	-2.000	-1352.000	-8.0506373012e-06	-7.8563673623e-06	4.9560448849e-06
0.000	-1.000	-1352.000	-7.4039719302e-06	-7.4114793191e-06	5.5956643671e-06
0.000	0.000	-1352.000	-5.5312948600e-06	-8.1055145044e-06	4.7419935139e-06
0.000	1.000	-1352.000	-5.4834203450e-06	-7.8185262295e-06	3.9744644151e-06
0.000	2.000	-1352.000	-5.7988817705e-06	-7.9735097360e-06	3.8138187897e-06
0.000	3.000	-1352.000	-6.8583749797e-06	-7.8304020911e-06	4.8786493925e-06
0.000	-3.000	-1351.000	-7.3112060719e-06	-7.7045109318e-06	4.4764998437e-06
0.000	-2.000	-1351.000	-8.0811878550e-06	-7.7392249885e-06	4.4499754660e-06
0.000	-1.000	-1351.000	-7.6888109178e-06	-7.8244992960e-06	5.8788647552e-06
