fieldmap_name:      	VPU29_Gap13.0mm
timestamp:          	2025-03-24_17-06-33
filename:           	2025-03-24_VPU29_Gap13.0mm_Fieldmap_Y=-3_3mm_Z=-1380_1380mm_ID=5224.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap13.0mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.54
probey_temp[degC]:  	-57.68
probez_temp[degC]:  	-0.47
transd_temp[degC]:  	-0.70
room_temp[degC]:    	25.09
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
---------------------------------------------------------------------------------------------
0.000	-3.000	-1380.000	-9.7969429013e-06	-8.0144779447e-06	8.4168871423e-06
0.000	-2.000	-1380.000	-1.1240294831e-05	-8.1110659427e-06	8.4340940737e-06
0.000	-1.000	-1380.000	-1.1276021008e-05	-9.0659835889e-06	7.6784884494e-06
0.000	0.000	-1380.000	-1.0920736038e-05	-9.0805648981e-06	9.0526154311e-06
0.000	1.000	-1380.000	-1.0812551136e-05	-9.7378481569e-06	7.5529706674e-06
0.000	2.000	-1380.000	-1.1692910272e-05	-8.7464948054e-06	7.9817159923e-06
0.000	3.000	-1380.000	-1.0491554670e-05	-1.0307467882e-05	8.7280755685e-06
0.000	-3.000	-1379.000	-9.9765082742e-06	-8.5268616387e-06	8.2141880619e-06
0.000	-2.000	-1379.000	-9.9669836898e-06	-8.5064478057e-06	8.0678577466e-06
0.000	-1.000	-1379.000	-1.1519239359e-05	-9.5141392507e-06	8.2790888946e-06
0.000	0.000	-1379.000	-1.1594465605e-05	-9.1532606303e-06	8.0676435524e-06
0.000	1.000	-1379.000	-1.0857370596e-05	-9.2027668105e-06	7.4994221256e-06
0.000	2.000	-1379.000	-1.0880660900e-05	-8.9895986097e-06	8.1069481822e-06
0.000	3.000	-1379.000	-9.8984426237e-06	-9.2233914575e-06	8.8890781843e-06
0.000	-3.000	-1378.000	-1.0072257304e-05	-8.6557393311e-06	8.0259470879e-06
0.000	-2.000	-1378.000	-1.0462154255e-05	-8.5792840806e-06	7.9695783228e-06
0.000	-1.000	-1378.000	-1.1411413875e-05	-8.9248084067e-06	8.5087407411e-06
0.000	0.000	-1378.000	-1.1542745314e-05	-8.9747362150e-06	7.8951458497e-06
0.000	1.000	-1378.000	-1.0935508130e-05	-9.2620055753e-06	7.9466595469e-06
0.000	2.000	-1378.000	-1.0910780152e-05	-8.9750875719e-06	8.0947391146e-06
0.000	3.000	-1378.000	-9.4250887483e-06	-9.3994915106e-06	8.8473817197e-06
0.000	-3.000	-1377.000	-1.0282516998e-05	-8.3190340620e-06	7.7939034066e-06
0.000	-2.000	-1377.000	-1.0215808965e-05	-9.1362549588e-06	8.0321587187e-06
0.000	-1.000	-1377.000	-1.1614988388e-05	-8.8110039230e-06	7.7432464860e-06
0.000	0.000	-1377.000	-1.1543464151e-05	-8.9247381353e-06	7.7468520878e-06
0.000	1.000	-1377.000	-1.0884219141e-05	-9.6369033339e-06	7.4103173520e-06
0.000	2.000	-1377.000	-1.1277243031e-05	-8.8930808831e-06	8.1985875867e-06
0.000	3.000	-1377.000	-1.0088538952e-05	-9.6423142294e-06	8.6031289708e-06
