fieldmap_name:      	VPU29_Gap18.0mm
timestamp:          	2025-03-25_08-03-17
filename:           	2025-03-25_VPU29_Gap18.0mm_Fieldmap_Y=-3_3mm_Z=-1380_1380mm_ID=5226.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap18.0mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.84
probey_temp[degC]:  	-57.41
probez_temp[degC]:  	-0.13
transd_temp[degC]:  	-0.43
room_temp[degC]:    	25.11
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
---------------------------------------------------------------------------------------------
0.000	-3.000	-1380.000	-7.3842147111e-06	-9.0954836648e-06	4.5734240060e-06
0.000	-2.000	-1380.000	-7.2340497533e-06	-8.5216476578e-06	4.6506767023e-06
0.000	-1.000	-1380.000	-6.9618622891e-06	-9.4644786284e-06	3.8481625562e-06
0.000	0.000	-1380.000	-5.6674532913e-06	-8.3493071230e-06	2.6458906965e-06
0.000	1.000	-1380.000	-5.3201833479e-06	-7.7979579544e-06	3.3152117695e-06
0.000	2.000	-1380.000	-3.7089830754e-06	-7.6461015239e-06	2.7952554290e-06
0.000	3.000	-1380.000	-4.4149524642e-06	-7.6487367003e-06	2.7088280826e-06
0.000	-3.000	-1379.000	-7.3184411657e-06	-8.8406445417e-06	3.8172471981e-06
0.000	-2.000	-1379.000	-7.6265704579e-06	-8.3427718856e-06	4.7195401270e-06
0.000	-1.000	-1379.000	-6.2786081367e-06	-8.5913568568e-06	4.0263721032e-06
0.000	0.000	-1379.000	-5.2630717830e-06	-8.3136795385e-06	2.5210154972e-06
0.000	1.000	-1379.000	-4.4092017717e-06	-7.9064920853e-06	3.3003252749e-06
0.000	2.000	-1379.000	-3.7867611916e-06	-7.9766931839e-06	3.3274922351e-06
0.000	3.000	-1379.000	-3.8133940863e-06	-8.3753426656e-06	2.9315543173e-06
0.000	-3.000	-1378.000	-6.5687665151e-06	-9.2278397901e-06	4.3808277507e-06
0.000	-2.000	-1378.000	-7.5457372865e-06	-8.8060007563e-06	4.3950002648e-06
0.000	-1.000	-1378.000	-6.7433719160e-06	-8.4481086692e-06	4.3180331608e-06
0.000	0.000	-1378.000	-5.2214511460e-06	-8.5743511853e-06	2.3905712495e-06
0.000	1.000	-1378.000	-5.2098059937e-06	-8.6362953979e-06	3.1844819295e-06
0.000	2.000	-1378.000	-3.6217522585e-06	-8.6598363068e-06	3.2288558212e-06
0.000	3.000	-1378.000	-3.5376483806e-06	-8.1352956659e-06	2.9165250266e-06
0.000	-3.000	-1377.000	-6.5778597976e-06	-9.0423585091e-06	4.1695252049e-06
0.000	-2.000	-1377.000	-7.3866946972e-06	-8.6444820125e-06	4.4252016424e-06
0.000	-1.000	-1377.000	-6.7396699077e-06	-9.0202230276e-06	4.3449859268e-06
0.000	0.000	-1377.000	-5.2367983066e-06	-8.1909154552e-06	2.2795829719e-06
0.000	1.000	-1377.000	-5.3589645804e-06	-8.3663127946e-06	3.4557588421e-06
0.000	2.000	-1377.000	-3.1124565532e-06	-8.1290415139e-06	2.7766205365e-06
0.000	3.000	-1377.000	-4.5301100816e-06	-8.0940463717e-06	2.7503817510e-06
0.000	-3.000	-1376.000	-6.8714326496e-06	-9.4020425162e-06	3.3862528349e-06
0.000	-2.000	-1376.000	-7.6863057762e-06	-8.3892915325e-06	4.1836263209e-06
0.000	-1.000	-1376.000	-6.5415585512e-06	-8.2397891930e-06	4.4398025448e-06
0.000	0.000	-1376.000	-4.6215101506e-06	-7.6312391292e-06	2.8096421372e-06
0.000	1.000	-1376.000	-5.1521912432e-06	-7.9531522749e-06	3.3446277684e-06
0.000	2.000	-1376.000	-3.2568708188e-06	-8.1760530604e-06	2.9914572860e-06
0.000	3.000	-1376.000	-4.0684732408e-06	-7.6163767344e-06	2.4016379481e-06
0.000	-3.000	-1375.000	-7.0062504468e-06	-9.7109905941e-06	3.4904582972e-06
0.000	-2.000	-1375.000	-7.9501187943e-06	-8.7679488095e-06	4.5234096680e-06
0.000	-1.000	-1375.000	-6.7285998247e-06	-8.4483897547e-06	4.1630279818e-06
0.000	0.000	-1375.000	-5.2753638882e-06	-7.9067028994e-06	2.8155681759e-06
0.000	1.000	-1375.000	-5.1820229605e-06	-8.1848018460e-06	3.4194172318e-06
0.000	2.000	-1375.000	-3.1304274673e-06	-8.0439780206e-06	3.0623555553e-06
0.000	3.000	-1375.000	-4.0085222714e-06	-7.7606789926e-06	3.2413504809e-06
0.000	-3.000	-1374.000	-6.6327070273e-06	-9.2916461940e-06	4.4731811358e-06
0.000	-2.000	-1374.000	-8.0367026582e-06	-8.5041500867e-06	4.5352617452e-06
0.000	-1.000	-1374.000	-6.2512564055e-06	-9.0231392895e-06	3.8688322933e-06
0.000	0.000	-1374.000	-5.0537465759e-06	-8.2665977206e-06	3.1310047858e-06
0.000	1.000	-1374.000	-5.8778567532e-06	-7.9215652941e-06	3.1516031249e-06
0.000	2.000	-1374.000	-3.0559200575e-06	-8.1676556317e-06	3.4881378604e-06
0.000	3.000	-1374.000	-3.7050654162e-06	-7.2797417366e-06	3.0950201658e-06
0.000	-3.000	-1373.000	-5.9127922101e-06	-9.6166161443e-06	4.3535893925e-06
0.000	-2.000	-1373.000	-7.6864495435e-06	-8.0877922198e-06	4.7315350004e-06
0.000	-1.000	-1373.000	-6.7695016251e-06	-8.4067891037e-06	3.9223094370e-06
0.000	0.000	-1373.000	-4.8798600113e-06	-8.1231387189e-06	3.0030951691e-06
0.000	1.000	-1373.000	-4.6304596658e-06	-7.8276827439e-06	3.3124629444e-06
0.000	2.000	-1373.000	-2.8638469277e-06	-7.6841534708e-06	3.2971480614e-06
0.000	3.000	-1373.000	-4.2363215783e-06	-7.1949593288e-06	2.8959266875e-06
0.000	-3.000	-1372.000	-6.6351870134e-06	-9.3033112414e-06	4.3415945191e-06
0.000	-2.000	-1372.000	-6.8951542561e-06	-8.3874293412e-06	4.7133284962e-06
0.000	-1.000	-1372.000	-6.5244502410e-06	-8.7529458720e-06	3.7552379867e-06
0.000	0.000	-1372.000	-4.8918645819e-06	-8.4048566410e-06	2.6161891054e-06
0.000	1.000	-1372.000	-5.1053230993e-06	-8.0586998726e-06	3.2378162771e-06
0.000	2.000	-1372.000	-3.3041702647e-06	-7.9708606602e-06	3.5893803033e-06
0.000	3.000	-1372.000	-3.5556911783e-06	-7.9980908160e-06	2.6608485892e-06
0.000	-3.000	-1371.000	-6.5327528033e-06	-8.9429947920e-06	4.4192756037e-06
0.000	-2.000	-1371.000	-8.0192349297e-06	-7.8567750910e-06	4.6956217784e-06
0.000	-1.000	-1371.000	-6.1856266274e-06	-8.4685927735e-06	4.5560028804e-06
0.000	0.000	-1371.000	-4.7895741390e-06	-8.5862270468e-06	2.7534161684e-06
0.000	1.000	-1371.000	-5.0266823793e-06	-8.6212221891e-06	2.9761424031e-06
0.000	2.000	-1371.000	-3.4095157631e-06	-8.3082686430e-06	3.1098352623e-06
0.000	3.000	-1371.000	-3.7774522581e-06	-7.2300247424e-06	2.4465116261e-06
0.000	-3.000	-1370.000	-7.0512136737e-06	-8.8967562306e-06	4.3205677917e-06
0.000	-2.000	-1370.000	-7.5992187267e-06	-7.9064920853e-06	4.5622859093e-06
0.000	-1.000	-1370.000	-6.9886389510e-06	-8.6184464699e-06	5.0411169700e-06
0.000	0.000	-1370.000	-5.6171706737e-06	-8.4861606160e-06	2.5830961066e-06
0.000	1.000	-1370.000	-4.6908419371e-06	-8.3220769672e-06	2.9285912980e-06
0.000	2.000	-1370.000	-3.2356291984e-06	-7.5522892450e-06	3.4761429870e-06
0.000	3.000	-1370.000	-4.3766025336e-06	-7.7489436739e-06	2.5687807964e-06
0.000	-3.000	-1369.000	-7.6662142943e-06	-9.2857433989e-06	4.0198748801e-06
0.000	-2.000	-1369.000	-7.4651197661e-06	-8.3137498099e-06	3.8887166518e-06
0.000	-1.000	-1369.000	-6.8707856967e-06	-8.4130432556e-06	4.5797784330e-06
0.000	0.000	-1369.000	-5.1255583485e-06	-8.5595590619e-06	2.5506456903e-06
0.000	1.000	-1369.000	-5.0899759387e-06	-8.0648837532e-06	3.1367880283e-06
0.000	2.000	-1369.000	-3.4036213033e-06	-8.0122504971e-06	3.5859174976e-06
0.000	3.000	-1369.000	-4.4042417994e-06	-7.8419126963e-06	2.7262492082e-06
0.000	-3.000	-1368.000	-6.9284004471e-06	-9.4731571426e-06	4.4789643783e-06
0.000	-2.000	-1368.000	-7.3147391574e-06	-8.5946947469e-06	4.4700039223e-06
0.000	-1.000	-1368.000	-7.4589377717e-06	-8.7703029004e-06	4.1392524293e-06
0.000	0.000	-1368.000	-4.6909138208e-06	-8.5394965858e-06	2.3988177249e-06
0.000	1.000	-1368.000	-4.9302145126e-06	-7.9239896564e-06	3.1728440465e-06
0.000	2.000	-1368.000	-3.2354854311e-06	-7.9328789847e-06	3.5566442948e-06
0.000	3.000	-1368.000	-3.9630558588e-06	-8.0003043642e-06	3.1285415529e-06
0.000	-3.000	-1367.000	-6.8416009322e-06	-8.9400785302e-06	5.0145211942e-06
0.000	-2.000	-1367.000	-7.5936118015e-06	-8.7413510960e-06	4.3955714492e-06
0.000	-1.000	-1367.000	-7.1119553632e-06	-9.2981814314e-06	4.1569591471e-06
0.000	0.000	-1367.000	-4.8828431831e-06	-8.4282570072e-06	3.1784130948e-06
0.000	1.000	-1367.000	-5.0265386120e-06	-7.8128203491e-06	3.0443632453e-06
0.000	2.000	-1367.000	-3.6544952639e-06	-7.7456057838e-06	2.9819970436e-06
0.000	3.000	-1367.000	-3.5075291285e-06	-7.8686509526e-06	2.3455547754e-06
0.000	-3.000	-1366.000	-6.7459237858e-06	-9.0895105984e-06	4.4064239537e-06
0.000	-2.000	-1366.000	-7.8601204568e-06	-8.4978256634e-06	4.1300063811e-06
0.000	-1.000	-1366.000	-6.2541676936e-06	-8.6118409612e-06	4.8478067341e-06
0.000	0.000	-1366.000	-5.5031631949e-06	-7.9035758234e-06	3.3453417490e-06
0.000	1.000	-1366.000	-4.8887376429e-06	-7.9187895750e-06	3.5568584890e-06
0.000	2.000	-1366.000	-3.9995727562e-06	-7.6286039528e-06	2.9585070833e-06
0.000	3.000	-1366.000	-4.1049182545e-06	-7.4764664368e-06	2.3193159899e-06
0.000	-3.000	-1365.000	-6.3803235103e-06	-9.2358858620e-06	4.3387028979e-06
0.000	-2.000	-1365.000	-7.5662600704e-06	-9.2008907197e-06	4.3058954913e-06
0.000	-1.000	-1365.000	-6.4854533575e-06	-8.8113413805e-06	4.4809992229e-06
0.000	0.000	-1365.000	-5.6436598011e-06	-8.1698691799e-06	2.6402502502e-06
0.000	1.000	-1365.000	-5.2514266307e-06	-7.9480224649e-06	2.8686169312e-06
0.000	2.000	-1365.000	-3.3671762895e-06	-7.9653794933e-06	2.6456051043e-06
0.000	3.000	-1365.000	-3.9690940859e-06	-7.7929686871e-06	2.3445552026e-06
0.000	-3.000	-1364.000	-6.8298838963e-06	-9.4000397821e-06	4.4551174277e-06
0.000	-2.000	-1364.000	-7.5661163031e-06	-9.3123411124e-06	4.6009479565e-06
0.000	-1.000	-1364.000	-6.4649305737e-06	-9.1045135359e-06	4.3861112069e-06
0.000	0.000	-1364.000	-5.5391769067e-06	-8.5976110088e-06	2.8128907488e-06
0.000	1.000	-1364.000	-5.3591083478e-06	-7.7692169641e-06	2.8302404763e-06
0.000	2.000	-1364.000	-3.3460784364e-06	-8.0356508633e-06	3.3033596923e-06
