fieldmap_name:      	VPU29_Gap11.5mm
timestamp:          	2025-03-24_15-56-02
filename:           	2025-03-24_VPU29_Gap11.5mm_Fieldmap_Y=-3_3mm_Z=-1380_1380mm_ID=5222.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap11.5mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.70
probey_temp[degC]:  	-57.34
probez_temp[degC]:  	-0.09
transd_temp[degC]:  	-0.43
room_temp[degC]:    	25.12
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
---------------------------------------------------------------------------------------------
0.000	-3.000	-1380.000	-8.9341233770e-06	-8.3045230241e-06	7.2646296192e-06
0.000	-2.000	-1380.000	-8.1591816220e-06	-9.7654999409e-06	6.7204693372e-06
0.000	-1.000	-1380.000	-8.7215274640e-06	-8.8782184884e-06	6.7414960647e-06
0.000	0.000	-1380.000	-9.8051735799e-06	-7.9260765613e-06	7.2467801053e-06
0.000	1.000	-1380.000	-9.2067421429e-06	-7.5488247116e-06	6.4944944908e-06
0.000	2.000	-1380.000	-7.0806392447e-06	-8.0377377681e-06	5.9290932874e-06
0.000	3.000	-1380.000	-9.2217298852e-06	-8.5440078529e-06	6.2977214492e-06
0.000	-3.000	-1379.000	-9.1742147885e-06	-7.2672473322e-06	7.0835998488e-06
0.000	-2.000	-1379.000	-9.0964366725e-06	-8.4969260351e-06	7.3186779474e-06
0.000	-1.000	-1379.000	-8.5093628529e-06	-8.0056588877e-06	6.7204693372e-06
0.000	0.000	-1379.000	-9.2725156882e-06	-7.9028167378e-06	7.0474010345e-06
0.000	1.000	-1379.000	-8.2153586993e-06	-7.0478952509e-06	6.7320358223e-06
0.000	2.000	-1379.000	-7.1102553110e-06	-8.0261429921e-06	6.2088308698e-06
0.000	3.000	-1379.000	-9.2701794694e-06	-8.5619270523e-06	6.6159782827e-06
0.000	-3.000	-1378.000	-8.4548750416e-06	-8.0000371781e-06	6.9997071333e-06
0.000	-2.000	-1378.000	-9.2784820317e-06	-9.1771528961e-06	7.3780811298e-06
0.000	-1.000	-1378.000	-7.8586360556e-06	-7.9676069409e-06	6.8123943340e-06
0.000	0.000	-1378.000	-9.4616056456e-06	-8.0114914114e-06	6.4164564159e-06
0.000	1.000	-1378.000	-8.0357214425e-06	-7.7833905446e-06	7.2530631342e-06
0.000	2.000	-1378.000	-7.6286442976e-06	-7.8443509580e-06	6.3095021284e-06
0.000	3.000	-1378.000	-9.1892744144e-06	-8.6907344734e-06	7.2352136202e-06
