fieldmap_name:      	VPU29_Gap10.5mm
timestamp:          	2025-03-25_11-00-13
filename:           	2025-03-25_VPU29_Gap10.5mm_Fieldmap_X=-2_2mm_Z=-1380_1380mm_ID=5231.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap10.5mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.86
probey_temp[degC]:  	-57.30
probez_temp[degC]:  	-0.08
transd_temp[degC]:  	-0.38
room_temp[degC]:    	25.13
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
---------------------------------------------------------------------------------------------					
-2.000	0.0	-1380.0	5.8531287754e-06	7.4087599719e-06	4.9814995934e-06
-1.000	0.0	-1380.0	5.457984317e-06	8.1322388613e-06	4.3297424419e-06
0.000	0.0	-1380.0	5.6553768371e-06	8.3547882899e-06	3.9637203093e-06
1.000	0.0	-1380.0	4.9573505928e-06	7.1425368868e-06	4.1395380215e-06
2.000	0.0	-1380.0	3.9842255955e-06	7.9855122408e-06	4.4666839127e-06
-2.000	0.0	-1379.0	5.8171150636e-06	8.4922742252e-06	4.7014764189e-06
-1.000	0.0	-1379.0	5.3743836247e-06	7.4229196529e-06	4.2941862101e-06
0.000	0.0	-1379.0	4.9185693602e-06	8.9903576954e-06	4.1929437672e-06
1.000	0.0	-1379.0	4.4244770487e-06	7.95392526e-06	3.5083792092e-06
2.000	0.0	-1379.0	4.4308028104e-06	8.5631780375e-06	3.5022389764e-06
-2.000	0.0	-1378.0	6.0395949797e-06	8.7123290202e-06	5.1630291501e-06
-1.000	0.0	-1378.0	4.6063786409e-06	8.0564863245e-06	4.4877106401e-06
0.000	0.0	-1378.0	5.3924264224e-06	9.2508887994e-06	4.0971989745e-06
1.000	0.0	-1378.0	4.4158150681e-06	7.8686509526e-06	3.7941856261e-06
2.000	0.0	-1378.0	4.1425493486e-06	7.6283228673e-06	3.7795133256e-06
-2.000	0.0	-1377.0	5.394403223e-06	7.8246962107e-06	5.0909171138e-06
-1.000	0.0	-1377.0	5.4974125024e-06	7.7922659734e-06	4.0374388018e-06
0.000	0.0	-1377.0	5.364283971e-06	8.7201642779e-06	4.3894312165e-06
1.000	0.0	-1377.0	4.6823956075e-06	7.7310244745e-06	3.9252010583e-06
2.000	0.0	-1377.0	4.4129756637e-06	7.5053479699e-06	3.6665616015e-06
-2.000	0.0	-1376.0	5.4758114637e-06	7.8803862714e-06	5.1003059582e-06
-1.000	0.0	-1376.0	5.2571054395e-06	8.1500175179e-06	4.2883315696e-06
0.000	0.0	-1376.0	5.808668734e-06	9.1981150006e-06	4.4546890394e-06
1.000	0.0	-1376.0	4.4752628518e-06	7.4670149376e-06	3.6630273978e-06
2.000	0.0	-1376.0	3.8675943632e-06	7.7486625884e-06	3.4250576782e-06
-2.000	0.0	-1375.0	5.7727269059e-06	8.2318133925e-06	4.7403526603e-06
-1.000	0.0	-1375.0	5.6647576542e-06	8.3756237511e-06	3.940158951e-06
0.000	0.0	-1375.0	5.8659240662e-06	9.0162526952e-06	4.5322273279e-06
1.000	0.0	-1375.0	4.7269275326e-06	8.0447510057e-06	4.0653911407e-06
2.000	0.0	-1375.0	4.0620755953e-06	7.710891727e-06	4.0802776353e-06
-2.000	0.0	-1374.0	5.8353016287e-06	8.0704351914e-06	5.198799576e-06
-1.000	0.0	-1374.0	6.141166586e-06	7.5636029356e-06	3.9549026495e-06
0.000	0.0	-1374.0	5.1069404815e-06	8.7909275475e-06	4.0349755689e-06
1.000	0.0	-1374.0	5.6232089009e-06	7.4700014708e-06	3.5170540729e-06
2.000	0.0	-1374.0	4.8141583495e-06	7.3970949245e-06	3.8864676131e-06
-2.000	0.0	-1373.0	5.7662573768e-06	8.184801846e-06	4.888646422e-06
-1.000	0.0	-1373.0	5.9310506588e-06	7.584860025e-06	4.570817977e-06
0.000	0.0	-1373.0	5.5002519068e-06	8.8936291547e-06	4.2946145985e-06
1.000	0.0	-1373.0	5.1278226837e-06	7.8806673568e-06	4.1192252747e-06
2.000	0.0	-1373.0	4.6673359815e-06	7.4259061862e-06	4.0356181514e-06
-2.000	0.0	-1372.0	5.9164223347e-06	8.1820261269e-06	5.421740005e-06
-1.000	0.0	-1372.0	5.5081231672e-06	7.408408615e-06	4.7641282128e-06
0.000	0.0	-1372.0	5.2659111874e-06	8.6066408798e-06	3.7433859095e-06
1.000	0.0	-1372.0	5.4886067545e-06	8.0007962638e-06	4.0528250829e-06
2.000	0.0	-1372.0	4.2270126448e-06	8.3227094095e-06	3.4131342029e-06
-2.000	0.0	-1371.0	5.7784057147e-06	8.0740541669e-06	5.6478576475e-06
-1.000	0.0	-1371.0	5.8956838999e-06	8.1996642407e-06	4.6809494779e-06
0.000	0.0	-1371.0	5.6681721279e-06	8.7320401395e-06	4.3214245684e-06
1.000	0.0	-1371.0	4.567884943e-06	7.3439697688e-06	3.9339473201e-06
2.000	0.0	-1371.0	4.1792100133e-06	8.2202186164e-06	3.0950201658e-06
-2.000	0.0	-1370.0	5.6796735129e-06	7.6483150721e-06	5.126973132e-06
-1.000	0.0	-1370.0	5.517791519e-06	7.7515085789e-06	4.2700536673e-06
0.000	0.0	-1370.0	5.3081068936e-06	9.0957647503e-06	3.8205672077e-06
1.000	0.0	-1370.0	4.3221866057e-06	7.7104700988e-06	3.7914368009e-06
2.000	0.0	-1370.0	4.1966058582e-06	7.5929763682e-06	3.2947562265e-06
-2.000	0.0	-1369.0	4.729335635e-06	8.4018701078e-06	5.2912243592e-06
-1.000	0.0	-1369.0	5.4670775995e-06	7.3093962548e-06	4.2047244464e-06
0.000	0.0	-1369.0	5.4131648573e-06	8.6355224128e-06	4.4312704771e-06
1.000	0.0	-1369.0	5.0148934597e-06	8.3699317701e-06	3.9309129027e-06
2.000	0.0	-1369.0	4.2593962319e-06	8.0594025863e-06	3.4908152875e-06
-2.000	0.0	-1368.0	5.3655778768e-06	8.0529376203e-06	4.4037465266e-06
-1.000	0.0	-1368.0	5.3229508686e-06	8.0064882447e-06	4.2793711136e-06
0.000	0.0	-1368.0	4.7892866044e-06	9.1015270026e-06	4.6808066818e-06
1.000	0.0	-1368.0	5.2093028081e-06	7.95905507e-06	3.9877100561e-06
2.000	0.0	-1368.0	4.3802326582e-06	7.8862187951e-06	3.6157618849e-06
-2.000	0.0	-1367.0	5.4373896494e-06	8.3781183847e-06	4.5500054437e-06
-1.000	0.0	-1367.0	5.7848033601e-06	8.1377200281e-06	4.4369109235e-06
0.000	0.0	-1367.0	5.640964164e-06	8.9195241545e-06	5.0290506986e-06
1.000	0.0	-1367.0	4.9427941524e-06	8.5890730373e-06	4.1782000687e-06
2.000	0.0	-1367.0	3.5050491424e-06	7.9186490323e-06	3.6398230297e-06
-2.000	0.0	-1366.0	4.9359652051e-06	8.6154599367e-06	4.2818343465e-06
-1.000	0.0	-1366.0	4.9276626428e-06	8.1556392275e-06	4.287546191e-06
0.000	0.0	-1366.0	5.8085249667e-06	9.0724346555e-06	4.3981060802e-06
1.000	0.0	-1366.0	4.8260910364e-06	8.7119776633e-06	4.2525611437e-06
2.000	0.0	-1366.0	3.861556136e-06	7.5052074272e-06	3.3929642521e-06
-2.000	0.0	-1365.0	5.4313514223e-06	8.2929143487e-06	4.8003270271e-06
-1.000	0.0	-1365.0	5.464669497e-06	7.9772553548e-06	4.3803279644e-06
0.000	0.0	-1365.0	5.2632155503e-06	8.6969044545e-06	4.3565524118e-06
1.000	0.0	-1365.0	5.074628778e-06	8.1377200281e-06	3.931269893e-06
2.000	0.0	-1365.0	4.1337436007e-06	7.4288927194e-06	3.0084500233e-06
-2.000	0.0	-1364.0	5.7395525985e-06	8.1407065613e-06	4.6719176239e-06
-1.000	0.0	-1364.0	4.9718351495e-06	7.7600465503e-06	4.3213531703e-06
0.000	0.0	-1364.0	5.0504039859e-06	8.653019984e-06	4.8237455893e-06
1.000	0.0	-1364.0	5.0324330718e-06	7.9242004705e-06	4.0205174626e-06
2.000	0.0	-1364.0	4.4938807188e-06	8.0861408426e-06	3.613298652e-06
-2.000	0.0	-1363.0	5.8593107698e-06	8.6683040069e-06	4.0110572203e-06
-1.000	0.0	-1363.0	5.119592005e-06	8.0678702864e-06	4.0922011106e-06
0.000	0.0	-1363.0	5.4103973365e-06	8.644763098e-06	4.3532324022e-06
1.000	0.0	-1363.0	5.2364388883e-06	8.2000155976e-06	3.9577942707e-06
2.000	0.0	-1363.0	4.1337436007e-06	7.3647349586e-06	2.7701947115e-06
-2.000	0.0	-1362.0	5.0234116729e-06	8.694058464e-06	4.2378888432e-06
-1.000	0.0	-1362.0	5.4065515609e-06	7.6697127042e-06	4.1422154486e-06
0.000	0.0	-1362.0	5.4218268378e-06	8.2345188402e-06	4.2436720857e-06
1.000	0.0	-1362.0	4.8467575876e-06	7.4846530514e-06	4.0713171793e-06
2.000	0.0	-1362.0	4.5537598045e-06	7.2033567575e-06	3.1667038137e-06
-2.000	0.0	-1361.0	5.5838525991e-06	8.5041500867e-06	4.3654414697e-06
-1.000	0.0	-1361.0	6.111478636e-06	7.5787464158e-06	4.2371034646e-06
0.000	0.0	-1361.0	5.3077474753e-06	8.4254812881e-06	3.9252724563e-06
1.000	0.0	-1361.0	4.5439476854e-06	7.2300950138e-06	3.7194675608e-06
2.000	0.0	-1361.0	4.5919659679e-06	7.6497907708e-06	3.3065369057e-06
-2.000	0.0	-1360.0	5.7333706041e-06	8.4840173392e-06	4.5530398611e-06
-1.000	0.0	-1360.0	5.2595854256e-06	8.0062071593e-06	4.5056315521e-06
0.000	0.0	-1360.0	5.1196638887e-06	8.6325358796e-06	3.9163120004e-06
1.000	0.0	-1360.0	5.4584156189e-06	7.8165798674e-06	3.6482123012e-06
2.000	0.0	-1360.0	4.8530833494e-06	7.1451017918e-06	3.5152334225e-06
-2.000	0.0	-1359.0	5.4700607712e-06	8.2786843962e-06	4.0318697535e-06
-1.000	0.0	-1359.0	5.8596701881e-06	8.0499510871e-06	4.226036766e-06
0.000	0.0	-1359.0	5.029881202e-06	9.0603479798e-06	4.09148713e-06
1.000	0.0	-1359.0	5.3591083478e-06	7.655131395e-06	4.2441718721e-06
2.000	0.0	-1359.0	4.3826407607e-06	7.950798184e-06	3.5528958969e-06
-2.000	0.0	-1358.0	5.3561970597e-06	7.9707903888e-06	4.7467070872e-06
-1.000	0.0	-1358.0	5.5626828623e-06	7.9476711081e-06	3.8238158192e-06
0.000	0.0	-1358.0	4.7593830034e-06	8.635733227e-06	4.3506263732e-06
1.000	0.0	-1358.0	5.1615720603e-06	7.9589145273e-06	3.5885235267e-06
2.000	0.0	-1358.0	4.5535441536e-06	7.7807414688e-06	3.8803273803e-06
-2.000	0.0	-1357.0	5.4222581398e-06	7.9153111422e-06	4.3473777616e-06
-1.000	0.0	-1357.0	5.5090576547e-06	7.6574854859e-06	4.2434578916e-06
0.000	0.0	-1357.0	5.4103254528e-06	8.4721414777e-06	4.6004481701e-06
1.000	0.0	-1357.0	5.3262934587e-06	8.2049345935e-06	4.0659623251e-06
2.000	0.0	-1357.0	4.5408207464e-06	7.9684362979e-06	4.214541679e-06
-2.000	0.0	-1356.0	4.962741867e-06	8.2877142673e-06	4.5622859093e-06
-1.000	0.0	-1356.0	5.2843134034e-06	8.4426275023e-06	4.6629571679e-06
0.000	0.0	-1356.0	5.4071266301e-06	8.1492445328e-06	4.9755735548e-06
1.000	0.0	-1356.0	4.9186412439e-06	8.3376420756e-06	3.5737798282e-06
2.000	0.0	-1356.0	4.6524201228e-06	7.8248367534e-06	4.0051311816e-06
-2.000	0.0	-1355.0	5.6738509367e-06	8.2369432025e-06	4.4633639031e-06
-1.000	0.0	-1355.0	5.20304893e-06	8.8145387278e-06	4.3354542863e-06
0.000	0.0	-1355.0	5.2868652732e-06	8.5304667148e-06	4.3204249956e-06
1.000	0.0	-1355.0	4.8742530861e-06	8.1671637321e-06	3.7169329298e-06
2.000	0.0	-1355.0	4.6972395825e-06	7.6552016663e-06	4.1836263209e-06
-2.000	0.0	-1354.0	5.8563994818e-06	8.7705137145e-06	4.6214748975e-06
-1.000	0.0	-1354.0	5.4520179735e-06	8.8382201795e-06	4.5646777442e-06
0.000	0.0	-1354.0	5.6650451888e-06	8.7005937014e-06	4.7378894273e-06
1.000	0.0	-1354.0	4.6248527406e-06	8.3400664379e-06	3.4997043454e-06
2.000	0.0	-1354.0	4.3971972011e-06	7.7129647324e-06	4.1371461866e-06
-2.000	0.0	-1353.0	5.6103417264e-06	9.0578533462e-06	3.9159550101e-06
-1.000	0.0	-1353.0	6.1769646468e-06	8.1227170906e-06	4.8148565314e-06
0.000	0.0	-1353.0	5.6135405491e-06	8.5830296995e-06	4.3054671029e-06
1.000	0.0	-1353.0	4.8466857039e-06	8.2403513639e-06	3.6011609825e-06
2.000	0.0	-1353.0	3.7893849451e-06	7.8331639107e-06	3.5053447918e-06
-2.000	0.0	-1352.0	6.0273028745e-06	8.3514503998e-06	4.0703176065e-06
-1.000	0.0	-1352.0	6.0118838302e-06	8.2815303867e-06	4.7260373501e-06
0.000	0.0	-1352.0	5.8083811994e-06	8.3370799047e-06	4.7436726699e-06
1.000	0.0	-1352.0	5.3267966443e-06	8.4431896733e-06	3.9463705818e-06
2.000	0.0	-1352.0	3.8945866761e-06	7.7166539794e-06	4.0890952951e-06
-2.000	0.0	-1351.0	5.8622220579e-06	8.1705016222e-06	4.9643640601e-06
-1.000	0.0	-1351.0	5.5147364636e-06	8.308268643e-06	4.5260870951e-06
0.000	0.0	-1351.0	5.2869371569e-06	7.909197533e-06	4.4667553108e-06
1.000	0.0	-1351.0	4.8431993466e-06	7.6574152145e-06	3.7018322411e-06
2.000	0.0	-1351.0	3.9272577979e-06	7.7368569982e-06	3.7076868816e-06
-2.000	0.0	-1350.0	5.7183828618e-06	7.9652389506e-06	3.7167187357e-06
-1.000	0.0	-1350.0	5.5596278069e-06	7.9679443983e-06	4.2641276287e-06
0.000	0.0	-1350.0	5.5332824469e-06	8.5070663486e-06	4.1300063811e-06
