fieldmap_name:      	VPU29_Gap9.7mm
timestamp:          	2025-03-24_13-34-43
filename:           	2025-03-24_VPU29_Gap9.7mm_Fieldmap_Y=-3_3mm_Z=-1380_1380mm_ID=5218.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap9.7mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.86
probey_temp[degC]:  	-57.27
probez_temp[degC]:  	-0.05
transd_temp[degC]:  	-0.41
room_temp[degC]:    	25.14
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
---------------------------------------------------------------------------------------------					
0.000	-3.0	-1380.0	7.3800346727e-06	8.4183275078e-06	5.1520325479e-06
0.000	-2.0	-1380.0	8.137436816e-06	7.97038266e-06	4.5697100055e-06
0.000	-1.0	-1380.0	7.3977899358e-06	7.5516707021e-06	5.1526751304e-06
0.000	0.0	-1380.0	5.4120398743e-06	8.2045971361e-06	4.8609426747e-06
0.000	1.0	-1380.0	4.7322720786e-06	6.4681564486e-06	3.5734572353e-06
0.000	2.0	-1380.0	5.9330526148e-06	8.4416576026e-06	3.7780483638e-06
0.000	3.0	-1380.0	6.3824692337e-06	8.2696684246e-06	6.6547117279e-06
0.000	-3.0	-1379.0	7.5147805862e-06	7.9555202653e-06	5.1018040157e-06
0.000	-2.0	-1379.0	7.2898925678e-06	7.9117763375e-06	4.8579796554e-06
0.000	-1.0	-1379.0	7.7064224136e-06	7.352591911e-06	5.1468918879e-06
0.000	0.0	-1379.0	5.4299389047e-06	8.4362467071e-06	4.0899507701e-06
0.000	1.0	-1379.0	4.4054530353e-06	7.7597793643e-06	3.4328387646e-06
0.000	2.0	-1379.0	5.9360357866e-06	8.1282824283e-06	4.1739862817e-06
0.000	3.0	-1379.0	6.5229658398e-06	8.11426329e-06	5.2678758933e-06
0.000	-3.0	-1378.0	7.7754666654e-06	8.1343960375e-06	5.4862468467e-06
0.000	-2.0	-1378.0	7.140158912e-06	7.9061546279e-06	5.3399879296e-06
0.000	-1.0	-1378.0	6.9694711703e-06	7.425990357e-06	4.5992688005e-06
0.000	0.0	-1378.0	5.4028747081e-06	8.5447105666e-06	4.7986478711e-06
0.000	1.0	-1378.0	4.8220547654e-06	8.4046597263e-06	3.605122273e-06
0.000	2.0	-1378.0	6.7095039276e-06	8.2196703449e-06	4.2093997173e-06
0.000	3.0	-1378.0	6.286217018e-06	7.7329005653e-06	5.4207748296e-06
0.000	-3.0	-1377.0	7.2927319723e-06	8.2313353923e-06	5.1734162656e-06
0.000	-2.0	-1377.0	8.0030503208e-06	8.1495395177e-06	5.5932011342e-06
0.000	-1.0	-1377.0	6.4990285822e-06	7.4107766054e-06	4.2151115618e-06
0.000	0.0	-1377.0	5.8135819782e-06	8.3834729083e-06	5.1380028299e-06
0.000	1.0	-1377.0	5.2684882127e-06	7.6220826148e-06	3.8554438562e-06
0.000	2.0	-1377.0	5.9564148031e-06	7.9733691932e-06	4.9655051273e-06
0.000	3.0	-1377.0	6.3976007433e-06	7.9121979657e-06	5.059893357e-06
0.000	-3.0	-1376.0	7.0148656992e-06	7.8739352048e-06	4.5778850828e-06
0.000	-2.0	-1376.0	7.9640534373e-06	7.8879543431e-06	5.1400376745e-06
0.000	-1.0	-1376.0	7.0532156298e-06	7.9710853737e-06	4.4715019798e-06
0.000	0.0	-1376.0	5.1928306645e-06	8.2256434114e-06	4.4295913211e-06
0.000	1.0	-1376.0	5.0250542107e-06	7.5226486263e-06	4.1416072634e-06
0.000	2.0	-1376.0	6.2754344695e-06	7.6362422959e-06	4.9860320683e-06
0.000	3.0	-1376.0	6.2983653559e-06	7.7011730417e-06	5.583955086e-06
0.000	-3.0	-1375.0	6.4662136932e-06	7.8209505918e-06	4.7927932305e-06
0.000	-2.0	-1375.0	7.745634948e-06	8.1729398839e-06	5.5398667866e-06
0.000	-1.0	-1375.0	7.1612567651e-06	7.9092114325e-06	3.9206302811e-06
0.000	0.0	-1375.0	5.4273870349e-06	8.1196039141e-06	4.3131767913e-06
0.000	1.0	-1375.0	5.2660801102e-06	7.2963396794e-06	3.4241639008e-06
0.000	2.0	-1375.0	6.169945204e-06	7.8863029659e-06	4.3519816346e-06
0.000	3.0	-1375.0	6.9310493561e-06	7.3203724879e-06	5.6433582683e-06
0.000	-3.0	-1374.0	6.6761139693e-06	8.2197406163e-06	4.9056021586e-06
0.000	-2.0	-1374.0	7.7002404192e-06	8.0438513773e-06	4.8073227349e-06
0.000	-1.0	-1374.0	7.332303925e-06	7.4284147192e-06	4.5546807147e-06
0.000	0.0	-1374.0	5.7804076708e-06	8.1428637376e-06	5.2186469339e-06
0.000	1.0	-1374.0	4.6059006109e-06	8.340010066e-06	3.3081063613e-06
0.000	2.0	-1374.0	5.7171859951e-06	7.8328264533e-06	4.2573078127e-06
0.000	3.0	-1374.0	6.8191624452e-06	7.4819615031e-06	5.1554239555e-06
0.000	-3.0	-1373.0	6.5885237342e-06	8.0874547624e-06	5.3581230357e-06
0.000	-2.0	-1373.0	7.5653507384e-06	7.9789909028e-06	4.8967131006e-06
0.000	-1.0	-1373.0	7.3590805869e-06	7.2615553512e-06	4.8464131704e-06
0.000	0.0	-1373.0	5.8615283769e-06	7.9060140851e-06	4.9386237593e-06
0.000	1.0	-1373.0	5.3311348192e-06	8.1816183981e-06	3.3735069803e-06
0.000	2.0	-1373.0	5.8819792771e-06	8.0700274626e-06	3.9027807671e-06
0.000	3.0	-1373.0	7.3833772627e-06	7.2702338654e-06	5.2007260219e-06
0.000	-3.0	-1372.0	7.08035171e-06	8.5826922421e-06	5.3786499767e-06
0.000	-2.0	-1372.0	7.5981656274e-06	7.9353875178e-06	5.0307629502e-06
0.000	-1.0	-1372.0	7.4309642431e-06	7.8453347572e-06	4.4412292042e-06
0.000	0.0	-1372.0	5.7118666046e-06	8.0232970016e-06	4.6494973327e-06
0.000	1.0	-1372.0	5.4989831565e-06	7.449179909e-06	3.4479394534e-06
0.000	2.0	-1372.0	6.6916048972e-06	8.1404393753e-06	4.3021100927e-06
0.000	3.0	-1372.0	6.669285022e-06	7.8538024573e-06	4.902353547e-06
0.000	-3.0	-1371.0	7.2450731082e-06	8.0435702918e-06	4.9499760502e-06
0.000	-2.0	-1371.0	7.9940289219e-06	8.0001777209e-06	4.9173114397e-06
0.000	-1.0	-1371.0	7.0292783723e-06	7.1124043685e-06	5.0634989588e-06
0.000	0.0	-1371.0	5.1781304568e-06	7.8708081288e-06	4.6674896427e-06
0.000	1.0	-1371.0	5.3973396666e-06	7.5462598066e-06	3.1202937758e-06
0.000	2.0	-1371.0	5.7230804549e-06	7.9999669068e-06	4.3583360615e-06
0.000	3.0	-1371.0	7.2003255322e-06	7.59875252e-06	4.8516252284e-06
0.000	-3.0	-1370.0	7.2811587036e-06	7.935246975e-06	4.9537244481e-06
0.000	-2.0	-1370.0	7.6006456135e-06	7.847478034e-06	5.5512190774e-06
0.000	-1.0	-1370.0	7.1971267095e-06	7.1153909017e-06	4.6262929646e-06
0.000	0.0	-1370.0	4.9655345433e-06	8.0939197284e-06	4.7865815997e-06
0.000	1.0	-1370.0	5.0643386289e-06	7.1801811048e-06	3.1142249411e-06
0.000	2.0	-1370.0	5.6509811477e-06	7.6280556813e-06	4.8226376178e-06
0.000	3.0	-1370.0	7.4343068331e-06	7.3346024403e-06	5.3193895905e-06
0.000	-3.0	-1369.0	7.3769077337e-06	8.0173239351e-06	4.6941568166e-06
0.000	-2.0	-1369.0	8.5217987254e-06	8.1757858744e-06	5.1672046347e-06
0.000	-1.0	-1369.0	7.4183127196e-06	7.6253502335e-06	4.3670109253e-06
0.000	0.0	-1369.0	5.594660303e-06	8.2661899918e-06	4.7655548723e-06
0.000	1.0	-1369.0	5.4420153589e-06	7.089144545e-06	4.0762066444e-06
0.000	2.0	-1369.0	6.2391332231e-06	7.7536657551e-06	3.8339173424e-06
0.000	3.0	-1369.0	6.6668769195e-06	7.9329631555e-06	5.262378243e-06
0.000	-3.0	-1368.0	7.4306767085e-06	8.1671776316e-06	5.0514326874e-06
0.000	-2.0	-1368.0	8.1253603617e-06	7.9672555841e-06	4.9000331102e-06
0.000	-1.0	-1368.0	7.4008449912e-06	7.7890825255e-06	4.8817552079e-06
0.000	0.0	-1368.0	6.0560814925e-06	8.2779253106e-06	5.0220880865e-06
0.000	1.0	-1368.0	5.3398686834e-06	7.6890160947e-06	3.7038300849e-06
0.000	2.0	-1368.0	5.8465406346e-06	8.1869590222e-06	4.3019672966e-06
0.000	3.0	-1368.0	6.6669488032e-06	7.5136890267e-06	4.9328405168e-06
0.000	-3.0	-1367.0	7.5598875805e-06	7.9264279181e-06	5.1525323343e-06
0.000	-2.0	-1367.0	8.2039291979e-06	8.5800570657e-06	4.3816832257e-06
0.000	-1.0	-1367.0	7.6078339792e-06	7.4462636472e-06	4.6376452555e-06
0.000	0.0	-1367.0	6.0021687503e-06	8.2398733638e-06	4.8607284805e-06
0.000	1.0	-1367.0	5.6548269233e-06	7.6395099146e-06	3.7638044517e-06
0.000	2.0	-1367.0	5.7474490144e-06	8.3306288381e-06	4.3253858588e-06
0.000	3.0	-1367.0	6.3554769207e-06	7.5193810076e-06	3.7807257909e-06
0.000	-3.0	-1366.0	7.6760875107e-06	8.0731545386e-06	5.0694249974e-06
0.000	-2.0	-1366.0	7.6490951978e-06	8.3481966806e-06	5.0427578236e-06
0.000	-1.0	-1366.0	7.1457658372e-06	7.2737825696e-06	4.9329119149e-06
0.000	0.0	-1366.0	5.5733467989e-06	8.2986905004e-06	4.6077294701e-06
0.000	1.0	-1366.0	5.7265668123e-06	7.7690200494e-06	3.2327457135e-06
0.000	2.0	-1366.0	6.1457922955e-06	8.3163988857e-06	4.215397154e-06
0.000	3.0	-1366.0	6.4183391781e-06	7.6220123435e-06	4.6407510709e-06
0.000	-3.0	-1365.0	7.6825570398e-06	8.2133459216e-06	5.0364747947e-06
0.000	-2.0	-1365.0	8.1434750431e-06	7.9379524228e-06	4.8873956543e-06
