fieldmap_name:      	VPU29_Gap11.5mm
timestamp:          	2025-03-24_15-56-02
filename:           	2025-03-24_VPU29_Gap11.5mm_Fieldmap_Y=-3_3mm_Z=-1380_1380mm_ID=5222.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap11.5mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.70
probey_temp[degC]:  	-57.34
probez_temp[degC]:  	-0.09
transd_temp[degC]:  	-0.43
room_temp[degC]:    	25.12
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
---------------------------------------------------------------------------------------------					
0.000	-3.0	-1380.0	8.934123377e-06	8.3045230241e-06	7.2646296192e-06
0.000	-2.0	-1380.0	8.159181622e-06	9.7654999409e-06	6.7204693372e-06
0.000	-1.0	-1380.0	8.721527464e-06	8.8782184884e-06	6.7414960647e-06
0.000	0.0	-1380.0	9.8051735799e-06	7.9260765613e-06	7.2467801053e-06
0.000	1.0	-1380.0	9.2067421429e-06	7.5488247116e-06	6.4944944908e-06
0.000	2.0	-1380.0	7.0806392447e-06	8.0377377681e-06	5.9290932874e-06
0.000	3.0	-1380.0	9.2217298852e-06	8.5440078529e-06	6.2977214492e-06
0.000	-3.0	-1379.0	9.1742147885e-06	7.2672473322e-06	7.0835998488e-06
0.000	-2.0	-1379.0	9.0964366725e-06	8.4969260351e-06	7.3186779474e-06
0.000	-1.0	-1379.0	8.5093628529e-06	8.0056588877e-06	6.7204693372e-06
0.000	0.0	-1379.0	9.2725156882e-06	7.9028167378e-06	7.0474010345e-06
0.000	1.0	-1379.0	8.2153586993e-06	7.0478952509e-06	6.7320358223e-06
0.000	2.0	-1379.0	7.110255311e-06	8.0261429921e-06	6.2088308698e-06
0.000	3.0	-1379.0	9.2701794694e-06	8.5619270523e-06	6.6159782827e-06
0.000	-3.0	-1378.0	8.4548750416e-06	8.0000371781e-06	6.9997071333e-06
0.000	-2.0	-1378.0	9.2784820317e-06	9.1771528961e-06	7.3780811298e-06
0.000	-1.0	-1378.0	7.8586360556e-06	7.9676069409e-06	6.812394334e-06
0.000	0.0	-1378.0	9.4616056456e-06	8.0114914114e-06	6.4164564159e-06
0.000	1.0	-1378.0	8.0357214425e-06	7.7833905446e-06	7.2530631342e-06
0.000	2.0	-1378.0	7.6286442976e-06	7.844350958e-06	6.3095021284e-06
0.000	3.0	-1378.0	9.1892744144e-06	8.6907344734e-06	7.2352136202e-06
0.000	-3.0	-1377.0	8.8505945686e-06	8.5151263199e-06	7.7262537488e-06
0.000	-2.0	-1377.0	9.1920419352e-06	9.1475686494e-06	7.2321078048e-06
0.000	-1.0	-1377.0	8.3834226873e-06	8.7085834013e-06	6.937840718e-06
0.000	0.0	-1377.0	1.0028300448e-05	8.1465529845e-06	6.9705767266e-06
0.000	1.0	-1377.0	8.787588544e-06	8.2927877054e-06	6.776481112e-06
0.000	2.0	-1377.0	7.4934670822e-06	8.1932834455e-06	6.5091667913e-06
0.000	3.0	-1377.0	8.6163257332e-06	8.6794910542e-06	6.9791801923e-06
0.000	-3.0	-1376.0	9.3507969897e-06	8.6502581643e-06	7.2674498424e-06
0.000	-2.0	-1376.0	9.3657128483e-06	8.7902387332e-06	6.9581534649e-06
0.000	-1.0	-1376.0	8.4164532273e-06	8.4005488512e-06	6.8811863607e-06
0.000	0.0	-1376.0	9.0776750383e-06	7.6452721669e-06	6.8988216805e-06
0.000	1.0	-1376.0	9.0242654818e-06	7.9560824362e-06	6.598485759e-06
0.000	2.0	-1376.0	7.2269584268e-06	8.3130609956e-06	6.6785586785e-06
0.000	3.0	-1376.0	8.9320028092e-06	7.9144115138e-06	6.6665638052e-06
0.000	-3.0	-1375.0	8.8498038484e-06	7.9646204077e-06	7.4252752447e-06
0.000	-2.0	-1375.0	8.9733359114e-06	8.9629306249e-06	7.5330149108e-06
0.000	-1.0	-1375.0	8.2542836991e-06	8.533186062e-06	6.7707692675e-06
0.000	0.0	-1375.0	9.2972436659e-06	8.2492545917e-06	7.2508140954e-06
0.000	1.0	-1375.0	8.8770836959e-06	7.5546572354e-06	6.4554754533e-06
0.000	2.0	-1375.0	6.7923857833e-06	8.9023215683e-06	6.8248889938e-06
0.000	3.0	-1375.0	8.3885983106e-06	8.4100003504e-06	7.1906255344e-06
0.000	-3.0	-1374.0	8.9281570336e-06	7.903238366e-06	7.3988936631e-06
0.000	-2.0	-1374.0	8.9016679063e-06	9.4200458863e-06	7.1688848264e-06
0.000	-1.0	-1374.0	8.7189037106e-06	8.1520341513e-06	6.5059895778e-06
0.000	0.0	-1374.0	8.8441250395e-06	7.9764259978e-06	6.6156212924e-06
0.000	1.0	-1374.0	9.1623539852e-06	7.4696640134e-06	6.8512705754e-06
0.000	2.0	-1374.0	7.1944310724e-06	7.8352508156e-06	5.946514413e-06
0.000	3.0	-1374.0	8.9678008699e-06	8.1370312139e-06	7.2022634175e-06
0.000	-3.0	-1373.0	9.3482451199e-06	6.9564370629e-06	7.225967572e-06
0.000	-2.0	-1373.0	9.2756426272e-06	9.2418025565e-06	7.4046769056e-06
0.000	-1.0	-1373.0	8.2241644471e-06	8.1403691039e-06	6.2860835661e-06
0.000	0.0	-1373.0	9.2336625721e-06	7.3962655675e-06	6.5859910992e-06
